avg_workers,wrk0,wrk1,wrk2,wrk3
0,0.9948,0,0.0052,0
0.01,0.9964,0,0.0036,0
0.02,0.9885,0.0093,0.0022,0
0.03,0.9778,0.0213,9e-4,0
0.04,0.9668,0.0331,0,1e-4
0.05,0.9551,0.0446,0,3e-4
0.06,0.9435,0.056,0,5e-4
0.07,0.9322,0.0671,0,7e-4
0.08,0.921,0.0781,0,9e-4
0.09,0.9102,0.0888,0,0.001
0.1,0.8995,0.0993,0,0.0012
0.11,0.8891,0.1096,0,0.0013
0.12,0.8788,0.1197,0,0.0015
0.13,0.8688,0.1296,0,0.0016
0.14,0.8588,0.1394,0,0.0018
0.15,0.8492,0.1489,0,0.0019
0.16,0.8398,0.1582,0,0.002
0.17,0.8306,0.1673,0,0.0021
0.18,0.8215,0.1763,0,0.0022
0.19,0.8126,0.185,0,0.0024
0.2,0.8039,0.1936,0,0.0025
0.21,0.7954,0.202,0,0.0026
0.22,0.7871,0.2102,0,0.0027
0.23,0.779,0.2182,0,0.0028
0.24,0.7701,0.2261,9e-4,0.0029
0.25,0.7613,0.2337,0.002,0.003
0.26,0.7525,0.2412,0.0032,0.0031
0.27,0.7437,0.2486,0.0045,0.0032
0.28,0.7352,0.2557,0.0058,0.0033
0.29,0.7266,0.2627,0.0073,0.0034
0.3,0.7181,0.2695,0.0088,0.0036
0.31,0.7097,0.2762,0.0104,0.0037
0.32,0.7015,0.2827,0.012,0.0038
0.33,0.6933,0.289,0.0138,0.0039
0.34,0.6852,0.2952,0.0156,0.004
0.35,0.6771,0.3012,0.0175,0.0042
0.36,0.6693,0.307,0.0194,0.0043
0.37,0.6614,0.3127,0.0214,0.0045
0.38,0.6536,0.3183,0.0235,0.0046
0.39,0.6459,0.3237,0.0256,0.0048
0.4,0.6384,0.3289,0.0278,0.0049
0.41,0.6308,0.334,0.0301,0.0051
0.42,0.6233,0.339,0.0324,0.0053
0.43,0.6159,0.3438,0.0348,0.0055
0.44,0.6087,0.3484,0.0372,0.0057
0.45,0.6014,0.353,0.0397,0.0059
0.46,0.5943,0.3574,0.0422,0.0061
0.47,0.5873,0.3616,0.0448,0.0063
0.48,0.5803,0.3658,0.0474,0.0065
0.49,0.5734,0.3697,0.0501,0.0068
0.5,0.5665,0.3736,0.0529,0.007
0.51,0.5598,0.3773,0.0556,0.0073
0.52,0.5531,0.3809,0.0584,0.0076
0.53,0.5464,0.3844,0.0613,0.0079
0.54,0.5398,0.3878,0.0642,0.0082
0.55,0.5334,0.391,0.0671,0.0085
0.56,0.527,0.3941,0.0701,0.0088
0.57,0.5206,0.3971,0.0731,0.0092
0.58,0.5145,0.3999,0.0761,0.0095
0.59,0.5082,0.4027,0.0792,0.0099
0.6,0.5021,0.4053,0.0823,0.0103
0.61,0.4961,0.4078,0.0854,0.0107
0.62,0.4902,0.4102,0.0885,0.0111
0.63,0.4842,0.4125,0.0917,0.0116
0.64,0.4784,0.4147,0.0949,0.012
0.65,0.4726,0.4168,0.0981,0.0125
0.66,0.4668,0.4188,0.1014,0.013
0.67,0.4611,0.4207,0.1047,0.0135
0.68,0.4557,0.4224,0.1079,0.014
0.69,0.4501,0.4241,0.1113,0.0145
0.7,0.4212,0.4491,0.1146,0.0151
0.71,0.4161,0.4503,0.1179,0.0157
0.72,0.4111,0.4513,0.1213,0.0163
0.73,0.4062,0.4523,0.1246,0.0169
0.74,0.4013,0.4532,0.128,0.0175
0.75,0.3965,0.4539,0.1314,0.0182
0.76,0.3918,0.4546,0.1348,0.0188
0.77,0.3871,0.4552,0.1382,0.0195
0.78,0.3825,0.4557,0.1416,0.0202
0.79,0.3779,0.456,0.1451,0.021
0.8,0.3735,0.4563,0.1485,0.0217
0.81,0.369,0.4566,0.1519,0.0225
0.82,0.3647,0.4567,0.1553,0.0233
0.83,0.3604,0.4567,0.1588,0.0241
0.84,0.3561,0.4567,0.1622,0.025
0.85,0.3519,0.4567,0.1656,0.0258
0.86,0.3478,0.4564,0.1691,0.0267
0.87,0.3437,0.4562,0.1725,0.0276
0.88,0.3397,0.4559,0.1759,0.0285
0.89,0.3358,0.4554,0.1793,0.0295
0.9,0.3319,0.4549,0.1827,0.0305
0.91,0.328,0.4544,0.1861,0.0315
0.92,0.3242,0.4538,0.1895,0.0325
0.93,0.3205,0.4531,0.1929,0.0335
0.94,0.3168,0.4523,0.1963,0.0346
0.95,0.3132,0.4515,0.1996,0.0357
0.96,0.3096,0.4506,0.203,0.0368
0.97,0.3061,0.4496,0.2063,0.038
0.98,0.3026,0.4486,0.2096,0.0392
0.99,0.2992,0.4475,0.2129,0.0404
1,0.2958,0.4464,0.2162,0.0416
1.01,0.2924,0.4453,0.2195,0.0428
1.02,0.2892,0.444,0.2227,0.0441
1.03,0.2859,0.4427,0.226,0.0454
1.04,0.2827,0.4414,0.2292,0.0467
1.05,0.2796,0.4399,0.2324,0.0481
1.06,0.2765,0.4386,0.2355,0.0494
1.07,0.2734,0.4371,0.2387,0.0508
1.08,0.2704,0.4355,0.2418,0.0523
1.09,0.2675,0.4339,0.2449,0.0537
1.1,0.2645,0.4323,0.248,0.0552
1.11,0.2617,0.4306,0.251,0.0567
1.12,0.2588,0.4288,0.2541,0.0583
1.13,0.256,0.4271,0.2571,0.0598
1.14,0.2533,0.4253,0.26,0.0614
1.15,0.2506,0.4234,0.263,0.063
1.16,0.2479,0.4215,0.2659,0.0647
1.17,0.2453,0.4197,0.2687,0.0663
1.18,0.2427,0.4177,0.2716,0.068
1.19,0.2401,0.4157,0.2744,0.0698
1.2,0.2376,0.4137,0.2772,0.0715
1.21,0.2351,0.4117,0.2799,0.0733
1.22,0.2327,0.4096,0.2826,0.0751
1.23,0.2303,0.4074,0.2853,0.077
1.24,0.2279,0.4053,0.288,0.0788
1.25,0.2256,0.4031,0.2906,0.0807
1.26,0.2233,0.401,0.2931,0.0826
1.27,0.221,0.3987,0.2957,0.0846
1.28,0.2188,0.3964,0.2982,0.0866
1.29,0.2166,0.3942,0.3006,0.0886
1.3,0.2144,0.392,0.303,0.0906
1.31,0.2123,0.3896,0.3054,0.0927
1.32,0.2102,0.3872,0.3078,0.0948
1.33,0.2081,0.385,0.31,0.0969
1.34,0.2061,0.3826,0.3123,0.099
1.35,0.2041,0.3802,0.3145,0.1012
1.36,0.2021,0.3778,0.3167,0.1034
1.37,0.2001,0.3754,0.3188,0.1057
1.38,0.1982,0.373,0.3209,0.1079
1.39,0.1963,0.3705,0.323,0.1102
1.4,0.1945,0.368,0.325,0.1125
1.41,0.1926,0.3656,0.3269,0.1149
1.42,0.1908,0.3631,0.3288,0.1173
1.43,0.189,0.3606,0.3307,0.1197
1.44,0.1873,0.3581,0.3325,0.1221
1.45,0.1856,0.3555,0.3343,0.1246
1.46,0.1839,0.3531,0.336,0.127
1.47,0.1822,0.3505,0.3377,0.1296
1.48,0.1805,0.3481,0.3393,0.1321
1.49,0.1789,0.3455,0.3409,0.1347
1.5,0.1773,0.343,0.3424,0.1373
1.51,0.1757,0.3436,0.3408,0.1399
1.52,0.1742,0.3413,0.3419,0.1426
1.53,0.1726,0.3389,0.3432,0.1453
1.54,0.1711,0.3366,0.3443,0.148
1.55,0.1696,0.3343,0.3454,0.1507
1.56,0.1682,0.3319,0.3464,0.1535
1.57,0.1667,0.3296,0.3474,0.1563
1.58,0.1653,0.3272,0.3484,0.1591
1.59,0.1639,0.3249,0.3492,0.162
1.6,0.1625,0.3225,0.3502,0.1648
1.61,0.1611,0.3202,0.3509,0.1678
1.62,0.1598,0.3178,0.3517,0.1707
1.63,0.1585,0.3155,0.3523,0.1737
1.64,0.1572,0.3132,0.353,0.1766
1.65,0.1559,0.3108,0.3536,0.1797
1.66,0.1546,0.3085,0.3542,0.1827
1.67,0.1533,0.3061,0.3548,0.1858
1.68,0.1521,0.3038,0.3552,0.1889
1.69,0.1509,0.3015,0.3556,0.192
1.7,0.1497,0.2991,0.3561,0.1951
1.71,0.1485,0.2968,0.3564,0.1983
1.72,0.1473,0.2945,0.3567,0.2015
1.73,0.1461,0.2922,0.357,0.2047
1.74,0.145,0.2899,0.3571,0.208
1.75,0.1439,0.2876,0.3572,0.2113
1.76,0.1427,0.2853,0.3574,0.2146
1.77,0.1416,0.2831,0.3574,0.2179
1.78,0.1406,0.2808,0.3574,0.2212
1.79,0.1395,0.2786,0.3573,0.2246
1.8,0.1384,0.2763,0.3573,0.228
1.81,0.1374,0.2741,0.3571,0.2314
1.82,0.1363,0.2719,0.3569,0.2349
1.83,0.1353,0.2697,0.3566,0.2384
1.84,0.1343,0.2675,0.3563,0.2419
1.85,0.1333,0.2653,0.356,0.2454
1.86,0.1323,0.2631,0.3557,0.2489
1.87,0.1313,0.261,0.3552,0.2525
1.88,0.1304,0.2589,0.3546,0.2561
1.89,0.1294,0.2567,0.3542,0.2597
1.9,0.1284,0.2546,0.3537,0.2633
1.91,0.1275,0.2525,0.353,0.267
1.92,0.1266,0.2505,0.3523,0.2706
1.93,0.1257,0.2484,0.3516,0.2743
1.94,0.1248,0.2464,0.3507,0.2781
1.95,0.1239,0.2443,0.35,0.2818
1.96,0.123,0.2423,0.3491,0.2856
1.97,0.1221,0.2404,0.3481,0.2894
1.98,0.1212,0.2384,0.3472,0.2932
1.99,0.1203,0.2364,0.3463,0.297
2,0.1195,0.2345,0.3452,0.3008
