TAZ,Agriculture,FIRE,Hotel,TransportConstruction,Services,Healthcare,Retail,Wholesale,Education,Manufacturing,Military,Public
1,7,3,35,0,0,0,0,0,0,0,0,0
3,0,0,0,9,0,0,0,0,0,0,0,0
4,0,0,5,0,0,0,0,0,0,0,0,0
5,0,0,0,2,0,0,0,0,0,0,0,0
7,0,1,0,1,4,0,0,0,0,0,0,0
8,0,3,0,2,0,2,0,0,0,0,0,0
9,0,0,0,0,8,0,0,0,0,0,0,0
11,0,5,0,1,30,4,113,0,0,0,0,0
12,0,2,0,1,4,0,0,0,0,0,0,0
13,0,19,0,17,64,3,5,1,0,0,0,0
15,0,50,0,38,91,137,180,8,5,0,0,0
16,0,12,0,55,235,0,12,1,3,9,0,0
17,0,3,0,0,35,4,14,0,0,0,0,0
18,0,8,0,6,234,29,47,0,1,0,0,0
19,0,109,0,79,287,144,85,15,53,70,500,191
20,0,0,0,0,1,1,0,0,90,0,0,10
21,2,27,0,13,161,26,143,9,15,0,0,0
22,0,0,0,66,73,0,4,0,1,2,0,18
23,0,15,0,58,36,34,2,0,11,0,0,35
24,0,3,0,3,0,4,0,0,0,0,0,0
25,3,26,0,7,117,3,4,15,36,1,0,37
26,0,0,0,0,41,159,5,0,0,0,0,33
27,0,15,0,13,80,12,51,0,0,0,0,0
28,0,20,0,20,101,138,9,7,1,14,0,0
29,0,32,0,8,130,54,98,2,1,0,0,9
30,0,9,0,5,72,0,2,0,2,0,0,0
31,0,80,35,15,276,9,11,4,2,7,0,11
32,0,25,0,18,44,45,13,5,104,6,0,110
33,0,2,0,0,7,0,0,0,0,0,0,0
34,0,8,0,39,52,4,4,0,0,4,0,0
35,0,4,0,8,4,4,0,1,32,0,0,0
36,0,0,0,0,4,0,0,0,0,0,0,0
37,5,359,94,134,405,158,10,0,1523,0,0,207
38,0,17,0,12,41,32,15,4,38,0,0,0
39,6,14,0,9,34,10,2,0,12,0,0,0
40,0,6,0,3,0,1,6,0,0,2,0,0
41,2,13,0,15,21,3,7,0,0,0,0,0
42,0,244,5,35,248,44,127,3,144,93,0,34
43,0,4,0,3,115,267,0,0,74,0,233,1493
44,0,4,0,0,0,0,0,2,0,0,0,0
45,0,6,0,2,28,0,1,0,0,0,0,0
46,3,3,0,0,23,2,0,0,30,6,0,0
47,0,4,0,10,2,0,0,0,2,0,0,0
48,5,1,0,0,0,0,0,0,0,0,0,0
49,0,240,0,80,30,0,0,0,0,0,0,0
50,3,28,0,19,161,17,20,20,0,0,0,0
51,0,40,6,46,192,62,53,4,18,17,0,0
52,0,13,0,31,46,225,2,6,2,0,0,0
54,0,72,0,111,121,75,90,15,10,27,0,9
55,0,16,17,22,17,7,17,12,0,0,0,0
56,0,49,21,11,207,6,251,0,0,4,0,0
57,0,15,0,98,17,112,17,0,0,4,0,0
58,0,7,0,2,60,0,7,0,4,0,0,0
59,0,30,0,18,59,1,33,0,0,45,0,0
60,0,8,0,13,26,0,9,0,0,0,0,10
61,0,3,5,21,14,2,4,0,33,0,0,0
62,0,3,0,17,15,1,20,8,0,0,0,0
63,0,13,0,20,29,25,21,7,17,0,0,0
64,0,4,0,11,4,0,2,0,1,0,0,0
65,0,6,0,9,0,9,0,0,0,0,0,0
66,0,3569,0,5,2,139,0,2,0,0,0,453
67,0,9,0,47,26,8,9,0,2,1,0,0
68,0,73,0,209,26,17,181,7,1,5,0,0
69,0,150,0,137,580,163,432,14,37,36,5,0
72,0,5,0,0,0,0,8,0,0,0,0,0
74,10,7,4,7,12,1,6,23,0,0,0,0
75,4,18,0,50,41,0,48,3,0,12,0,0
76,0,26,2,24,9,0,4,2,43,0,0,0
77,4,32,0,7,3,8,36,0,8,13,0,0
78,0,25,21,2,109,51,94,0,8,3,0,0
79,0,102,0,19,110,125,185,0,0,6,0,0
80,0,20,0,0,69,2,0,0,24,0,0,0
81,0,11,0,6,10,0,0,0,0,0,0,0
82,10,3,0,82,138,0,8,0,9,0,0,0
84,0,2,0,0,0,0,4,0,0,0,0,0
85,0,0,0,5,2,0,13,0,0,0,0,11
86,2,12,35,7,1,1,4,0,0,0,0,0
87,0,3,0,2,3,1,0,0,0,7,0,0
88,0,13,0,50,300,12,4,0,326,0,6,17
89,0,0,0,0,40,0,25,0,0,0,0,0
90,0,16,0,4,18,0,17,0,1,0,0,0
91,0,7,0,21,153,59,0,0,0,0,0,8
92,0,55,0,31,53,89,33,0,63,13,0,238
93,0,0,0,0,0,2,0,0,139,0,0,0
94,2,10,0,8,11,6,13,6,346,0,0,20
95,0,0,0,3,0,3,0,0,0,0,0,0
96,0,5,0,17,0,0,0,5,0,3,0,9
99,3,2,0,20,5,0,7,2,0,0,0,0
100,0,6,0,11,16,6,2,0,0,0,0,0
101,0,12,0,5,140,0,5,0,4,0,0,0
102,0,16,0,4,0,3,6,6,0,0,0,21
103,5,15,0,0,1,0,0,4,1,7,0,0
104,0,176,4,109,525,677,552,37,11,16,0,7
106,0,6,0,13,5,11,2,1,0,0,0,0
107,0,19,0,0,43,2,4,0,130,0,0,9
108,0,2,0,0,0,1,3,0,0,0,0,0
109,11,18,0,8,15,0,0,0,0,0,0,0
110,0,7,21,29,18,0,0,0,1,0,0,0
113,0,3,0,6,3,5,3,0,32,0,0,0
116,0,9,0,3,3,0,4,0,70,0,0,0
117,0,0,0,0,0,0,0,180,0,0,0,0
118,0,28,72,3,105,8,205,0,25,0,0,0
119,0,684,0,388,548,118,402,0,212,13,6,1881
120,0,25,5,124,20,4,0,0,0,0,0,0
122,0,46,0,46,7,4,2,0,3,0,0,0
123,0,47,0,6,8,4,0,0,0,0,0,8
124,0,0,0,8,14,0,0,0,0,0,0,0
126,0,13,0,8,15,4,4,0,0,0,0,0
127,0,2,0,6,10,141,5,5,0,3,0,0
128,6,5,0,5,41,10,66,0,0,0,0,0
129,0,2,0,4,1,3,0,0,0,0,0,0
130,0,57,0,15,27,12,3,0,1,0,0,0
131,5,54,0,41,286,86,33,0,97,3,16,83
132,0,7,0,14,3,1,5,0,0,0,0,0
133,0,3,0,5,52,5,8,0,0,0,0,0
134,0,2,0,24,1,0,0,0,0,0,0,0
135,0,1,0,2,10,1,0,0,1,0,0,0
136,0,44,0,15,59,51,59,5,87,0,0,0
137,0,8,0,4,1,1,0,0,0,0,0,0
138,0,9,0,4,0,4,0,0,4,0,0,0
141,0,0,0,14,0,0,0,0,0,0,0,0
142,0,6,0,3,0,2,5,16,0,0,0,0
143,0,12,80,43,270,14,101,0,2,0,0,0
144,0,4,0,6,0,2,0,0,0,0,0,0
147,0,8,0,0,108,0,0,0,0,0,0,0
149,0,321,0,747,42,4,96,200,2,579,0,0
150,0,108,0,633,37,1,96,381,0,51,0,0
151,9,256,0,397,95,0,209,581,0,210,0,0
152,0,50,0,8,0,0,0,5,0,124,0,0
153,0,286,688,15,318,0,5,0,0,0,0,0
154,0,7,0,5,13,26,0,0,0,0,0,0
155,0,213,0,544,182,43,130,476,16,63,0,0
156,0,232,0,0,259,16,375,0,14,12,0,0
157,0,16,1,13,0,0,4,0,0,2,0,0
158,0,5,0,9,0,0,0,0,0,0,0,0
159,0,4,0,13,4,6,4,0,43,0,0,0
160,0,2,0,14,0,0,3,0,0,0,0,11
161,0,9,0,9,47,22,5,0,304,0,0,0
163,0,2,0,20,2,1,0,0,0,0,0,0
164,0,10,0,1,0,16,0,0,228,0,0,0
165,0,29,0,6,150,172,130,2,0,0,0,0
166,0,6,0,0,29,7,16,3,0,0,0,0
168,0,1,0,14,10,186,4,0,86,0,0,144
169,0,2,0,4,35,0,5,0,0,6,0,0
170,0,0,0,1,5,0,0,0,0,0,0,0
171,0,2,0,28,8,0,0,0,0,0,0,0
172,6,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,6,0,8,6,0,0,0,0
174,6,4,0,21,4,0,0,6,0,0,0,0
175,4,7,0,60,4,4,6,0,0,0,0,0
177,0,0,0,0,0,0,2,0,0,0,0,0
178,0,9,0,2,32,1,12,3,0,0,0,0
179,0,2,0,14,3,5,4,0,0,10,0,0
180,0,0,0,5,0,0,0,0,23,0,0,0
181,0,0,0,4,0,0,0,0,0,0,0,0
182,0,6,0,2,0,0,6,4,0,0,0,0
183,0,9,0,7,6,0,0,0,0,0,0,0
184,0,0,0,1,0,0,2,0,0,1,0,0
185,0,0,0,28,0,0,2,2,0,0,0,0
186,0,0,0,0,0,0,0,0,0,2,0,0
187,0,0,0,0,0,0,4,0,0,0,0,0
188,0,6,0,4,14,4,34,5,0,0,0,0
189,0,1,0,0,15,36,0,0,0,3,0,0
190,0,10,0,31,11,1,10,0,0,0,0,0
191,0,0,0,10,4,12,2,0,0,0,0,0
192,0,55,0,28,266,46,292,0,14,0,0,13
193,40,4,17,19,51,75,15,15,0,0,0,0
194,0,0,0,8,3,0,0,0,0,0,0,0
195,0,7,0,0,0,0,0,0,0,0,0,0
196,0,8,0,8,10,0,0,0,0,0,0,0
197,0,12,0,3,21,0,0,10,180,0,0,8
198,0,0,0,2,3,0,2,0,1,0,0,0
199,0,3,0,6,6,0,2,0,0,0,0,0
201,0,1,0,0,0,0,0,0,0,0,0,0
202,0,2,0,9,20,0,3,0,0,0,0,8
203,0,180,0,239,177,14,375,362,14,131,0,0
205,0,6,0,15,96,307,29,0,0,5044,208,17
206,0,0,0,0,12,0,0,0,0,0,0,0
207,0,0,0,0,0,29,0,0,15,0,0,0
208,0,1,0,0,15,0,6,0,0,0,0,0
209,0,53,100,0,0,4,8,0,0,0,0,0
211,0,9,0,35,4,11,1,3,0,0,0,0
212,0,14,0,16,6,0,15,19,0,0,0,0
214,0,11,0,1,210,6,22,0,0,5,0,0
215,0,10,0,0,3,1,0,0,0,0,0,0
216,0,26,0,8,1,10,0,0,0,0,0,0
217,0,1,0,6,1,0,0,0,0,0,0,0
218,0,6,0,3,3,0,2,0,0,0,0,0
219,0,17,0,5,27,15,5,0,0,0,0,3
220,0,1,0,13,0,6,5,8,0,0,0,0
221,0,10,0,7,0,0,1,0,0,0,0,0
222,0,17,0,28,9,2,3,0,0,0,0,0
223,0,0,0,0,12,31,0,0,30,0,0,0
224,0,10,0,0,140,1500,21,0,9,0,0,0
225,14,104,0,30,571,384,891,25,3,22,4,0
226,4,7,0,6,86,326,10,54,0,0,0,0
227,0,3,0,5,7,35,5,0,111,2,0,0
228,0,0,0,0,3,0,5,0,0,0,0,0
229,0,0,0,0,79,4,1,0,0,0,0,0
230,0,215,32,39,33,4262,10,3,0,0,22,225
231,0,8,0,7,5,3,3,0,150,0,0,9
232,0,7,0,0,0,5,3,0,0,0,0,0
233,0,0,0,6,0,0,0,2,0,0,0,0
234,0,457,0,187,450,187,658,90,51,117,0,0
235,0,5,0,0,13,0,6,0,0,0,0,0
236,0,13,0,3,15,662,2,5,0,20,0,0
237,0,7,0,6,9,0,0,0,0,0,0,0
238,0,7,0,0,1,3,0,0,0,0,0,0
240,0,0,0,7,0,0,0,0,0,0,0,50
242,0,50,0,23,75,36,84,0,3,25,0,0
243,0,346,0,3,36,391,47,0,21,0,12,1
244,0,1,0,0,0,0,0,0,0,0,0,0
245,0,0,0,3,16,0,1,0,0,0,0,0
246,0,55,0,7,18,22,0,0,0,50,9,12
247,0,70,0,0,72,0,50,0,0,0,0,0
248,0,10,0,30,0,1,8,0,0,0,0,0
249,0,0,0,0,200,0,0,0,0,0,0,0
250,0,200,0,8,18,0,0,0,0,0,0,4
251,0,0,0,60,97,0,2,0,0,9,0,0
252,0,1,0,0,0,0,7,0,15,0,0,0
253,0,3,0,0,51,17,0,0,10,0,7,0
254,0,0,0,0,2,0,0,0,0,0,0,0
255,0,1121,0,5629,797,111,111,2,16,89,0,459
256,0,0,0,2,0,4,0,0,0,0,13,12
257,0,4,0,6,18,8,0,0,0,0,0,15
258,0,0,0,0,2,0,4,0,0,0,0,0
259,0,9,0,0,10,0,0,0,0,0,0,0
260,0,30,0,12,19,1,0,0,0,0,0,45
261,0,1,0,0,11,0,0,3,0,3,0,12
262,0,81,0,18,194,46,19,0,2,3,5,0
263,0,3,0,6,3,8,2,0,0,0,0,0
264,0,10,0,3,11,30,0,0,5,0,0,0
265,0,7,0,18,5,8,0,6,0,0,0,0
267,0,0,0,0,15,0,0,0,0,0,0,0
268,0,23,0,138,430,0,291,220,6,40,0,0
269,0,6,0,100,0,0,0,0,0,0,0,32
270,0,10,17,6,367,15,0,0,0,0,0,6
272,0,5,0,0,11,7,8,0,2,0,0,0
273,0,3,0,0,10,224,0,0,0,0,0,18
276,0,10,0,27,11,15,3,0,0,6,0,0
277,0,3,0,2,3,0,12,0,2,0,0,0
278,0,0,0,0,0,0,0,0,196,0,0,0
279,0,35,2,66,48,0,19,0,59,0,0,36
280,0,47,0,2,43,7,3,0,0,0,0,0
281,0,3,0,9,0,140,0,0,0,0,0,0
282,0,0,0,1,4,0,12,0,0,0,0,0
283,0,0,0,0,1,6,0,0,0,0,10,0
286,0,0,0,0,3,0,4,0,0,1,0,0
287,0,52,0,15,38,83,2,3,0,0,0,0
288,0,12,0,16,12,5,13,0,0,0,0,0
290,0,6,0,0,0,0,0,0,0,0,0,0
291,0,0,0,3,0,10,0,6,0,0,0,0
292,0,9,0,7,14,0,0,0,0,0,0,10
293,0,14,0,11,9,0,0,0,0,0,0,0
294,0,0,0,3,26,12,0,0,147,0,0,0
295,0,13,0,53,151,24,30,1,5,3,0,0
297,0,10,0,62,15,14,4,0,30,0,0,18
298,0,14,0,9,24,17,0,0,0,0,0,0
299,0,5,0,5,3,1,0,0,0,0,0,0
300,0,3,0,1,3,0,2,12,0,0,0,0
301,0,37,0,0,99,24,115,6,0,0,0,0
302,0,5,0,15,1,0,2,0,0,0,0,0
303,5,3,0,0,2,0,0,0,0,0,0,0
304,0,0,0,13,14,0,7,0,4,0,0,0
305,0,136,0,12,352,40,235,2,5,2,0,0
306,0,10,0,2,106,5,1,0,98,0,0,0
307,3,0,0,1,0,0,0,6,0,0,0,0
308,0,2,0,10,4,0,4,0,30,0,0,0
311,3,9,0,7,33,0,3,5,0,0,0,0
312,0,3,0,0,0,46,0,0,54,0,0,0
313,0,0,0,2,0,0,0,0,0,0,0,0
314,0,6,0,0,6,0,0,0,124,0,0,150
315,0,6,0,4,2,3,0,3,0,0,0,0
316,0,3,0,0,0,0,7,0,0,0,0,0
317,0,7,0,0,3,0,0,0,3,0,0,0
318,0,2,0,0,0,0,5,0,31,0,0,18
319,0,27,0,35,20,0,8,0,0,3,0,0
320,0,2,0,5,3,0,0,0,0,0,0,0
321,0,0,0,4,0,0,0,14,0,0,0,0
322,0,3,0,11,0,0,0,0,0,0,0,58
323,0,0,0,12,9,0,0,6,0,0,0,0
324,2,6,0,1,1,0,0,0,0,2,0,0
325,0,70,25,0,619,14,508,0,5,14,0,0
326,0,0,0,0,0,0,0,0,111,0,0,0
328,0,12,0,25,15,71,6,0,85,0,0,9
329,0,7,0,18,2,0,0,0,0,0,0,0
330,0,3,0,8,1,0,0,0,0,4,0,0
331,0,2,0,8,0,2,15,2,0,0,0,6
332,10,67,0,56,256,41,95,0,10,0,0,0
333,0,12,0,54,2,1,0,1,0,0,0,0
334,0,4,0,2,0,0,0,0,0,0,0,0
335,0,5,0,17,12,1,0,0,101,0,0,0
336,0,4,0,6,2,0,2,0,0,0,0,0
337,0,0,0,0,0,5,0,0,0,0,0,0
338,3,9,0,11,15,20,0,0,0,0,0,0
339,0,30,0,5,106,86,23,0,0,0,0,0
340,0,11,0,3,1,1,10,0,0,0,0,0
341,0,3,0,9,0,0,0,0,0,0,0,0
342,0,1,0,10,2,0,0,0,0,0,0,0
343,5,84,0,15,5,4,0,0,0,0,0,0
344,0,17,0,22,7,21,1,0,47,0,0,0
345,0,15,0,13,5,0,0,0,0,0,0,0
347,0,2,0,11,0,0,1,0,7,0,0,0
348,0,2,0,0,31,123,0,0,0,0,0,0
349,0,3,0,0,14,4,3,0,0,0,0,0
350,0,0,0,2,2,60,0,0,0,0,0,8
351,0,298,5,267,61,103,3,109,0,0,0,0
352,0,4,0,14,6,0,3,0,0,0,0,0
353,0,1,0,0,14,0,0,1,10,0,0,0
354,0,8,0,6,3,1,0,2,0,0,0,0
355,0,4,0,10,3,10,0,0,0,0,0,0
356,0,160,0,0,779,387,705,0,20,4,3,0
357,0,1,0,2,0,0,0,0,0,3,0,0
358,0,7,0,5,119,31,3,0,5,0,0,0
359,0,41,1,73,23,6,2,9,115,0,0,0
360,0,1,0,13,0,3,0,0,0,0,0,0
361,0,18,0,8,4,5,0,0,0,0,0,0
362,0,17,0,10,7,21,2,0,0,0,0,0
363,0,8,0,33,15,0,0,0,12,0,0,0
364,0,1,0,4,2,31,1,20,0,0,0,0
365,0,77,0,0,170,38,52,0,109,0,0,0
366,0,6,0,24,0,0,0,0,0,0,0,0
367,0,0,0,6,0,0,0,0,0,0,0,0
368,0,12,0,0,75,0,4,5,0,0,0,108
369,0,2,0,3,23,5,0,0,0,0,0,0
370,3,9,0,17,3,0,0,1,1,7,0,0
372,0,7,0,1,3,0,0,0,2,5,0,0
373,0,60,0,0,372,34,727,0,0,3,0,0
374,0,2,0,29,0,31,0,0,0,0,0,0
375,0,3,0,7,0,2,0,0,0,0,0,0
377,0,59,7,4,0,56,0,5,17,1,0,13
378,0,2,0,11,5,2,0,0,0,0,0,0
379,0,7,0,31,2,7,0,0,0,0,0,0
380,0,162,0,13,16,150,12,36,12,0,0,0
381,0,3,0,4,0,0,0,0,0,0,0,0
382,0,2,0,9,2,0,4,0,0,0,0,0
383,0,23,0,67,5,0,3,0,0,0,0,0
384,0,39,0,5,3,41,6,7,0,0,0,0
390,0,365,5,202,212,32,81,178,16,411,0,0
391,0,3,0,4,46,26,3,0,0,0,0,0
392,0,77,0,120,12,20,26,12,10,52,0,0
393,0,18,0,68,72,84,704,35,4,0,0,0
394,5,39,0,1,80,46,28,21,0,2,0,0
395,0,71,0,11,92,217,147,5,0,0,0,0
396,0,48,0,0,123,52,57,15,0,2,0,39
397,0,240,0,64,8,28,112,15,0,60,0,0
398,0,229,0,179,16,42,10,43,0,117,0,0
399,0,38,0,23,112,3,711,0,5,5,0,10
400,0,216,0,2,4,2,3,0,0,0,0,0
401,0,0,0,0,90,0,0,0,0,0,0,0
402,0,114,0,30,211,61,90,185,21,0,0,0
403,0,0,0,0,10,12,2,0,0,0,0,10
404,0,12,0,91,13,3,9,0,0,0,0,0
405,0,9,0,20,7,2,0,9,166,4,0,0
406,0,11,0,12,13,0,50,0,0,0,0,0
407,0,2,0,12,4,2,3,0,0,0,0,0
409,0,3,0,11,1,0,0,0,0,3,0,0
410,0,2,0,5,1,0,5,0,0,2,0,0
411,0,31,0,14,130,24,606,0,0,1,0,0
